agent_id,first_name,last_name,agent_type,email,phone_number,department
e4e90091-6c3c-44e8-89c1-c2a6ab851b15,Christine,Arnold,FT,emma68@example.net,847 679 2854,Sales
3843d1ba-0fe8-43c4-95db-85431f587140,Sarah,Chase,FT,angelaanderson@example.com,500 667 3317,Technical
c72bc976-4e21-42d3-a344-df2d2176b1dc,Damon,Smith,FT,hbrady@example.org,854 256 7120,Sales
e6cacfb3-112a-42fa-97d2-29ddc67b9759,Mary,Simon,C,qparker@example.net,254 469 9283,Support
2acb7771-9ea7-4d53-9f8d-d3b24863b4cb,James,Moore,PT,silvadenise@example.net,466 446 1426,Sales
0980b2ce-017c-41de-904a-972c168ae274,Eric,Alexander,PT,bakerbradley@example.com,954 979 9151,Sales
a4a58475-81ef-4ac2-8158-d41b2749cf26,Jeffery,Price,FT,ramirezcurtis@example.com,481 743 4689,Support
0ff5b587-a738-4203-a04e-21ddf959be6c,Matthew,Mendez,FT,gcarney@example.com,506 869 4725,Support
519f16ea-87d6-4ec1-b6eb-664c0e94ea49,Erin,Robinson,PT,davidgonzalez@example.com,941 427 8832,Sales
df9aea96-5032-4bde-9787-454f804230eb,Gloria,Brewer,C,andrea92@example.org,443 250 0205,Support
7bc0ab65-9a32-4825-b2ee-c00a3eaa25ab,Christina,Long,PT,markdavis@example.com,647 817 2502,Sales
1bd938f9-17a4-4dc5-85ae-c41e4cdfab28,Joseph,Rodriguez,FT,zdavidson@example.com,910 948 0692,Sales
d99d96fb-d974-4d19-9b29-84c3a4e499dc,Christopher,Hernandez,PT,ltanner@example.net,785 529 2916,Support
453de57e-e2f6-402a-b3c1-7bb0e87c628f,Arthur,Meadows,C,alexanderthompson@example.net,961 683 2319,Technical
b6fa83c5-b5b7-4acb-9fdd-adb98ca8c09f,Christian,Oliver,FT,mackrichard@example.com,385 505 6476,Sales
75c5382b-00f6-477d-b83a-2c743bc2ad05,Dana,Craig,C,joannaclark@example.com,815 992 0588,Technical
7378b553-fb39-4dde-ad3b-a80a3086eb28,Madison,Reyes,PT,michaelyoung@example.com,413 496 1405,Technical
bc59a0f4-f884-4b96-971a-4a51b85a2625,Katrina,Finley,FT,johnsonkimberly@example.net,405 941 6294,Sales
c5ade3ea-f420-47f5-8e73-ccba274acf46,Robert,Hicks,FT,angela49@example.org,202 850 6422,Technical
2f7bcc5c-d1fa-47c4-bd07-14599e1a5ec0,Kylie,Wong,FT,jenniferroberts@example.com,227 572 6078,Support
5b3ab495-8c6c-42d5-bcb4-36003e48ec24,George,Taylor,C,qmiller@example.net,290 612 0497,Technical
