Agent ID,Name,Agent Type,Email,Phone Number,Department
e4e90091-6c3c-44e8-89c1-c2a6ab851b15,Christine Arnold,Full-time,emma68@example.net,(847)679-2854,Sales
3843d1ba-0fe8-43c4-95db-85431f587140,Sarah Chase,Full-time,angelaanderson@example.com,(500)667-3317,Technical
c72bc976-4e21-42d3-a344-df2d2176b1dc,Damon Smith,Full-time,hbrady@example.org,8542567120,Sales
e6cacfb3-112a-42fa-97d2-29ddc67b9759,Mary Simon,Contract,qparker@example.net,001-254-469-9283,Support
2acb7771-9ea7-4d53-9f8d-d3b24863b4cb,James Moore,Part-time,silvadenise@example.net,466.446.1426,Sales
0980b2ce-017c-41de-904a-972c168ae274,Eric Alexander,Part-time,bakerbradley@example.com,954.979.9151x66319,Sales
a4a58475-81ef-4ac2-8158-d41b2749cf26,Jeffery Price,Full-time,ramirezcurtis@example.com,481.743.4689x557,Support
0ff5b587-a738-4203-a04e-21ddf959be6c,Matthew Mendez,Full-time,gcarney@example.com,506.869.4725,Support
519f16ea-87d6-4ec1-b6eb-664c0e94ea49,Erin Robinson,Part-time,davidgonzalez@example.com,941-427-8832x3364,Sales
df9aea96-5032-4bde-9787-454f804230eb,Gloria Brewer,Contract,andrea92@example.org,4432500205,Support
7bc0ab65-9a32-4825-b2ee-c00a3eaa25ab,Christina Long,Part-time,markdavis@example.com,001-647-817-2502x71009,Sales
1bd938f9-17a4-4dc5-85ae-c41e4cdfab28,Joseph Rodriguez,Full-time,zdavidson@example.com,(910)948-0692,Sales
d99d96fb-d974-4d19-9b29-84c3a4e499dc,Christopher Hernandez,Part-time,ltanner@example.net,001-785-529-2916,Support
453de57e-e2f6-402a-b3c1-7bb0e87c628f,Arthur Meadows,Contract,alexanderthompson@example.net,(961)683-2319x58677,Technical
b6fa83c5-b5b7-4acb-9fdd-adb98ca8c09f,Christian Oliver,Full-time,mackrichard@example.com,385.505.6476x0756,Sales
75c5382b-00f6-477d-b83a-2c743bc2ad05,Dana Craig,Contract,joannaclark@example.com,+1-815-992-0588,Technical
7378b553-fb39-4dde-ad3b-a80a3086eb28,Madison Reyes,Part-time,michaelyoung@example.com,+1-413-496-1405,Technical
bc59a0f4-f884-4b96-971a-4a51b85a2625,Katrina Finley,Full-time,johnsonkimberly@example.net,405-941-6294,Sales
c5ade3ea-f420-47f5-8e73-ccba274acf46,Robert Hicks,Full-time,angela49@example.org,+1-202-850-6422,Technical
2f7bcc5c-d1fa-47c4-bd07-14599e1a5ec0,Kylie Wong,Full-time,jenniferroberts@example.com,227.572.6078,Support
5b3ab495-8c6c-42d5-bcb4-36003e48ec24,George Taylor,Contract,qmiller@example.net,2906120497,Technical
0158332f-12e1-480d-a60a-66e97b616d2d,Dr. Elizabeth Williams,Part-time,larryburton@example.net,322-982-4968,Technical
916aa20a-d2ec-4fcc-91f7-bc947ae90b32,Grant Fuller,Contract,michaelmitchell@example.net,424-561-2911x4249,Technical
f882aedd-8f69-4d95-a48d-7e06e3886f3f,Manuel Foster,Full-time,eric11@example.com,+1-871-606-9434x130,Support
0dc2c0d1-974e-4a56-bde0-80833ba3f683,Elizabeth Strickland,Full-time,juliareed@example.net,713.527.9408x66340,Support
3dcc4561-43d1-41db-8e46-a90c2138161b,Jessica Hill,Part-time,klane@example.org,(820)549-4468,Technical
b35009e2-6f97-488d-b6e0-c9805dced4c7,Jennifer Gonzalez,Full-time,aguirrechad@example.com,001-640-310-7730x2500,Support
2a0704d4-0c3b-41a0-81f5-6e7fb71e93aa,William Gross,Part-time,robert28@example.net,221.990.3052x1309,Support
3d1da085-3872-47cf-8ac9-d07087b223fd,Randy Taylor,Full-time,hholder@example.net,3036811147,Technical
e9f9a4c1-948c-483f-bc72-915896eb5da3,Brian Green,Contract,bradleysimon@example.com,+1-608-480-0393,Technical
5eb28d58-4e05-4cc6-be97-69e67201325c,Melanie Mccoy MD,Contract,wallerleon@example.com,820-669-7650,Support
483e9feb-4319-40cb-8143-5f845ba402e8,Gary White,Part-time,justin99@example.org,950-959-8862,Technical
aab78839-61bf-45f9-8baa-f6b738e03912,Michael Castillo,Full-time,qvillanueva@example.com,768.629.1617x986,Support
0036cea4-ac15-4a2c-9bbf-abc9e6dcf23d,Rickey Cuevas,Full-time,lauren61@example.org,001-238-807-9316x67608,Support
39639746-265e-4400-9242-efcecc43f27b,Miss Jennifer Foster,Part-time,jhorn@example.com,721.664.2905,Support
1b254d9f-5201-49c0-bf5f-458014f6d522,Scott Bishop,Full-time,vnolan@example.net,+1-450-765-5949x37052,Support
5210d273-41c2-4ffd-bf0a-d53de8a7d53c,James Hendricks,Contract,heather58@example.net,001-919-399-1307x29956,Support
8ef2520f-905d-41b0-9b68-1666c7e5a6fd,Dominique Roman,Full-time,schultzraven@example.com,+1-507-815-2301x2281,Sales
fc50701d-27f3-4f58-9374-8fba4bd55859,Manuel Moran,Part-time,joseph11@example.org,(464)533-5287x1254,Sales
a0dda56f-8d52-4d4c-a781-dfe3954227ef,Brandon Diaz,Full-time,georgewise@example.com,617.206.7913,Sales
c2507c2c-c63b-4a03-bd68-50be4a6e83fe,Mark Cooper,Full-time,scottmary@example.com,2615458797,Technical
ffd508fc-c9f5-4724-8463-97c564d1127d,Kevin Medina MD,Contract,barrettmatthew@example.org,412.337.9136x96248,Sales
e8fd0e68-ebe4-4ed8-ae45-7e4a6778afe2,Michael Warren,Part-time,parkertricia@example.com,001-593-290-7817x985,Technical
2535b78c-bcb0-45c8-a58b-a3d844d9a44c,Wesley Stewart,Part-time,jermaine65@example.net,9876645581,Sales
98874388-74d8-4b81-b369-98c57ae27b36,Charles Hall,Full-time,zbates@example.org,352-589-6942x4808,Support
1ba0eae9-0e23-4430-a31e-39dd61631c7a,Jason Mann,Full-time,qmontgomery@example.com,816-937-0352x6570,Technical
f7c23f05-7f10-45d5-8a61-3c67201fcff4,Joseph Robbins,Part-time,turneralexander@example.net,425-296-3284,Sales
14995a16-7422-4c73-ba4f-58052c281083,Morgan Stuart,Part-time,wilsonbreanna@example.net,972-494-1128,Technical
